,latitude,longitude,frp
781,-37.69363,148.14676,16.3
782,-37.69351,148.09256,3.1
783,-37.69349,148.17825,11.9
784,-37.69342,148.25674,32.5
785,-37.69336,148.17149,5.0
786,-37.69331,147.77853,6.7
787,-37.69327,148.11739,40.9
788,-37.69323,148.20265,32.5
789,-37.69304,148.19591,36.7
790,-37.69301,148.22733,31.5
791,-37.69299,148.142,16.3
792,-37.69288,148.08783,2.1
793,-37.69284,148.17349,4.3
794,-37.69281,148.03447,2.9
795,-37.69277,148.25195,42.1
796,-37.69272,148.16673,7.0
797,-37.69266,147.77385,6.7
798,-37.69263,148.11263,40.9
799,-37.69258,148.19788,32.5
800,-37.69241,148.19118,36.7
801,-37.69236,148.13724,24.7
802,-37.69236,148.22253,39.3
803,-37.69225,148.08322,2.1
804,-37.69218,148.16873,4.3
805,-37.69212,148.24715,42.1
806,-37.69208,148.16193,7.0
807,-37.69201,147.76915,5.1
808,-37.69199,148.10783,26.5
809,-37.69194,148.19313,35.1
810,-37.69188,148.27184,7.3
811,-37.6918,149.45573,25.6
812,-37.69178,148.18645,19.8
813,-37.69172,148.13248,24.7
814,-37.69171,148.21774,39.3
815,-37.69164,148.07866,2.9
816,-37.69153,148.16393,6.6
817,-37.69147,148.24239,36.4
818,-37.69144,148.15714,7.2
819,-37.69135,148.10303,26.5
820,-37.69129,148.18842,35.1
821,-37.69123,148.26707,7.3
