,latitude,longitude,frp
294,-38.08963,141.84958,16.7
295,-38.08958,141.8308,1.6
296,-38.08957,141.19968,28.5
297,-38.08939,141.22371,1.0
298,-38.08934,141.85565,1.0
299,-38.08911,141.17099,3.1
300,-38.08894,141.82597,1.3
301,-38.08892,141.19501,21.4
302,-38.08874,141.21906,1.0
303,-38.08869,141.85083,1.0
304,-38.08846,141.16635,6.4
305,-38.08828,141.19035,21.4
306,-38.08815,141.83525,8.8
307,-38.08804,141.84601,1.5
308,-38.08781,141.16171,6.4
309,-38.08763,141.18568,8.4
310,-38.08752,141.83978,11.5
311,-38.08745,141.20973,2.6
312,-38.0874,141.84117,1.5
313,-38.08698,141.18105,8.4
314,-38.08689,141.8443,11.5
315,-38.0868,141.20509,28.5
316,-38.08675,141.83635,1.6
317,-38.08661,141.22916,1.1
318,-38.08634,141.17641,3.3
319,-38.08615,141.20044,28.5
320,-38.08611,141.83153,1.6
321,-38.08596,141.22449,1.2
322,-38.08569,141.17175,3.3
323,-38.08551,141.19579,21.4
324,-38.08532,141.21982,1.2
325,-38.08521,141.85158,1.2
326,-38.08504,141.16711,1.9
327,-38.08486,141.19113,21.4
328,-38.08478,141.8345,8.8
329,-38.08467,141.21516,1.1
330,-38.08456,141.84674,1.2
331,-38.08439,141.16248,1.9
332,-38.08435,141.83578,21.6
333,-38.08422,141.18646,8.4
334,-38.08415,141.83902,11.5
335,-38.08403,141.21049,1.1
336,-38.08392,141.84192,1.2
337,-38.08371,141.84032,27.2
338,-38.08356,141.18181,8.4
339,-38.08338,141.20586,129.2
340,-38.08327,141.8371,2.3
341,-38.08319,141.22992,1.1
342,-38.08292,141.17717,3.3
343,-38.08274,141.20122,129.2
344,-38.08263,141.83228,2.3
345,-38.08254,141.22525,1.2
346,-38.08227,141.17253,3.3
347,-38.08209,141.19656,17.9
348,-38.0819,141.2206,1.2
349,-38.08162,141.16788,1.9
350,-38.08144,141.19189,17.9
351,-38.08125,141.21593,1.1
352,-38.08098,141.16322,1.9
353,-38.0808,141.18724,7.7
354,-38.0806,141.21126,1.1
355,-38.08044,141.84268,1.2
356,-38.08015,141.18259,7.7
357,-38.07996,141.20662,129.2
358,-38.07979,141.83786,2.3
359,-38.07977,141.23068,1.4
360,-38.0795,141.17795,4.2
361,-38.07932,141.20197,129.2
362,-38.07912,141.22601,1.1
363,-38.07886,141.17329,4.2
364,-38.07867,141.19733,17.9
365,-38.07848,141.22136,1.1
366,-38.07821,141.16864,4.2
367,-38.07803,141.19267,17.9
368,-38.07784,141.21669,2.0
369,-38.07738,141.18802,7.7
370,-38.07697,141.83878,11.3
371,-38.07695,141.84344,0.7
372,-38.07673,141.18335,7.7
373,-38.07654,141.20737,1.8
374,-38.07631,141.83861,1.5
375,-38.07608,141.17871,4.2
376,-38.0759,141.20273,1.8
377,-38.0757,141.22678,1.1
378,-38.07544,141.17406,4.2
379,-38.07505,141.22212,1.1
380,-38.07479,141.1694,4.2
381,-38.0746,141.19342,10.5
382,-38.07396,141.18878,16.3
383,-38.07331,141.18413,16.3
384,-38.07267,141.17947,1.4
385,-38.07228,141.22754,0.7
386,-38.07163,141.22287,0.7
387,-38.07138,141.17018,0.7
388,-38.07118,141.19418,10.5
389,-38.07054,141.18953,16.3
390,-38.06821,141.22365,0.7
391,-38.06757,141.21898,1.4
392,-38.06218,141.92101,1.2
393,-38.06175,141.83679,1.4
394,-38.0601,141.83501,8.9
395,-38.05955,141.84715,1.5
396,-38.05946,141.83954,8.9
397,-38.05891,141.84235,1.4
398,-38.05869,141.92174,1.4
399,-38.05827,141.83752,1.4
400,-38.05762,141.83272,1.7
401,-38.05673,141.83424,10.5
402,-38.05671,141.85271,0.9
403,-38.05609,141.83878,10.5
404,-38.05606,141.8479,0.9
405,-38.05545,141.84329,12.1
406,-38.05478,141.83826,1.3
407,-38.05414,141.83345,1.3
408,-38.05386,141.85826,1.6
409,-38.05336,141.83351,10.5
410,-38.05258,141.84862,0.9
411,-38.05194,141.84381,1.3
412,-38.05136,141.89348,1.7
413,-38.05107,141.9184,1.0
414,-38.05102,141.86382,1.0
415,-38.05066,141.8342,1.3
416,-38.05043,141.91354,0.8
417,-38.05003,141.82938,1.3
418,-38.04979,141.90869,0.8
419,-38.04889,141.86513,12.7
420,-38.04881,141.87418,1.2
421,-38.04846,141.84456,0.9
422,-38.04817,141.86937,1.2
423,-38.04782,141.83975,0.9
424,-38.04753,141.86455,1.0
425,-38.04725,141.82747,11.4
426,-38.04718,141.83493,1.2
427,-38.0469,141.85974,1.0
428,-38.0468,141.85533,12.2
429,-38.04661,141.83199,16.9
430,-38.04654,141.83012,1.2
431,-38.04626,141.85493,2.2
432,-38.04616,141.85986,16.2
433,-38.04596,141.87975,1.2
434,-38.0459,141.82532,1.6
435,-38.04552,141.86438,16.2
436,-38.04533,141.87492,1.1
437,-38.04469,141.87012,1.1
438,-38.04434,141.8405,0.9
439,-38.04405,141.8653,1.4
440,-38.04388,141.82674,13.9
441,-38.0437,141.83568,1.2
442,-38.04361,141.87791,9.7
443,-38.04343,141.85458,12.2
444,-38.04341,141.86049,1.4
445,-38.04306,141.83087,1.2
446,-38.04279,141.85912,16.2
447,-38.04278,141.85567,1.6
448,-38.0426,141.83577,7.7
449,-38.04243,141.82605,1.6
450,-38.04215,141.86362,16.2
451,-38.04214,141.85086,1.6
452,-38.04197,141.84027,18.3
453,-38.04184,141.87567,1.1
454,-38.04152,141.86812,10.5
455,-38.0415,141.84607,1.7
456,-38.04133,141.84479,18.3
457,-38.04121,141.87086,1.1
458,-38.04088,141.87263,10.5
459,-38.04086,141.84125,1.7
460,-38.0407,141.8493,61.2
461,-38.04057,141.86606,1.4
462,-38.0405,141.82596,13.9
463,-38.04023,141.83644,0.9
464,-38.04006,141.85382,61.2
465,-38.03993,141.86122,1.4
466,-38.03987,141.83047,7.7
467,-38.03959,141.83162,0.9
468,-38.03942,141.85834,46.8
469,-38.0393,141.85641,1.6
470,-38.03923,141.83499,7.7
471,-38.03894,141.82681,1.5
472,-38.03878,141.86287,46.8
473,-38.03866,141.85161,1.6
474,-38.0386,141.83952,18.3
475,-38.03831,141.82201,1.5
476,-38.03815,141.86737,37.8
477,-38.03802,141.84682,1.7
478,-38.03796,141.84402,18.3
479,-38.03738,141.842,1.7
480,-38.03732,141.84856,61.2
481,-38.03709,141.86681,3.6
482,-38.03675,141.83719,0.9
483,-38.0365,141.82971,11.3
484,-38.03645,141.86198,3.6
485,-38.03611,141.83238,0.9
486,-38.03605,141.85757,46.8
487,-38.03586,141.83423,11.3
488,-38.03581,141.85716,7.1
489,-38.03542,141.86211,46.8
490,-38.03522,141.83875,34.2
491,-38.03518,141.85237,7.1
492,-38.03478,141.86661,37.8
493,-38.03454,141.84756,4.4
494,-38.03424,141.87241,1.4
495,-38.03391,141.84276,4.4
496,-38.0336,141.86757,3.6
497,-38.03327,141.83794,2.6
498,-38.03297,141.86276,3.6
499,-38.03249,141.83348,11.3
500,-38.03233,141.85794,7.1
501,-38.03186,141.83798,34.2
502,-38.0317,141.85312,7.1
503,-38.03106,141.84831,4.4
504,-38.03042,141.84349,4.4
505,-38.03012,141.86833,4.1
506,-38.02949,141.86351,4.1
507,-38.02885,141.85869,21.6
508,-38.02822,141.85388,21.6
509,-38.02758,141.84908,15.8
510,-38.02694,141.84425,15.8
511,-38.02537,141.85942,21.6
512,-38.02473,141.85461,21.6
513,-38.0241,141.84981,15.8
514,-38.02346,141.84502,15.8
515,-37.77456,148.92413,10.6
516,-37.77396,148.88681,2.7
517,-37.77324,148.91048,10.0
518,-37.77198,148.91661,10.0
519,-37.7717,148.89699,2.2
520,-37.77135,148.89574,3.0
521,-37.77113,148.91467,3.9
522,-37.7707,148.92281,17.3
523,-37.77068,148.90292,11.1
524,-37.77061,148.90778,2.8
525,-37.77008,148.90085,2.8
526,-37.76982,148.89088,2.2
527,-37.76956,148.89395,2.7
528,-37.76948,148.8895,3.7
529,-37.76939,148.90913,10.0
530,-37.76284,148.9362,4.9
531,-37.75948,149.26001,4.1
532,-37.7564,149.23776,3.8
533,-37.75528,149.2442,4.0
534,-37.75458,149.23906,2.9
535,-37.75206,148.33575,10.2
536,-37.75127,148.33403,5.0
537,-37.75035,149.24062,3.8
538,-37.75028,149.24477,2.2
539,-37.75011,148.33989,10.4
540,-37.749,149.2498,23.9
541,-37.74854,149.24194,2.9
542,-37.74829,148.33456,12.2
543,-37.74749,148.33284,5.0
544,-37.74509,148.20299,4.9
545,-37.74396,148.19987,1.7
546,-37.74335,148.19946,1.8
547,-37.74135,148.20178,4.9
548,-37.74076,148.33215,6.9
549,-37.74001,149.25954,1.8
